[20:37:04.296] ======================================================================
[20:37:04.296] BTC 5m ARB SCANNER v3
[20:37:04.296] Threshold: YES_buy + NO_buy < $0.990
[20:37:04.296] Poll interval: 100ms
[20:37:04.296] Duration: 5 minutes
[20:37:04.296] ======================================================================
[20:37:04.450] CLOB API latency: 51.3ms (avg of 3)
[20:37:04.450] ⚠️  High latency — you're not co-located. Run from AWS eu-west-1 for <10ms.
[20:37:04.450] 
[20:37:04.450] Scanning... (Ctrl+C to stop)
[20:37:04.450] 
[20:37:04.472] 📊 Bitcoin Up or Down - March 24, 4:35PM-4:40PM ET
[20:37:04.472]    YES: 50479080100328806697...
[20:37:04.472]    NO:  13678910416501368810...
[20:37:04.472] 
[20:37:16.203] 🔄 SELL ARB | YES_sell=$0.770 + NO_sell=$0.240 = $1.0100 | spread=$0.0100
[20:37:16.312] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:16.417] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:16.527] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:16.638] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:16.752] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:16.861] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:17.001] 🎯 ARB #5 | T+136s | YES=$0.750 + NO=$0.210 = $0.9600 | spread=$0.0400 | profit@5shares=$0.20 | poll=140ms
[20:37:17.001] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:17.110]    └─ closed after 108ms
[20:37:17.110] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.250 = $1.0400 | spread=$0.0400
[20:37:17.218] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:17.332] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:17.462] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:17.576] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:17.692] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.240 = $1.0200 | spread=$0.0200
[20:37:17.814] 🎯 ARB #6 | T+137s | YES=$0.760 + NO=$0.220 = $0.9800 | spread=$0.0200 | profit@5shares=$0.10 | poll=122ms
[20:37:17.814] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.240 = $1.0200 | spread=$0.0200
[20:37:17.928] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.240 = $1.0200 | spread=$0.0200
